covid,880
de,641
coronavirus,514
la,369
el,271
case,253
en,232
new,190
que,185
peopl,173
us,170
amp,154
black,125
del,122
say,118
live,116
get,114
death,114
go,112
penc,111
american,102
state,100
trump,100
hospit,100
para,99
day,97
por,97
los,96
mask,95
test,94
florida,91
se,89
spread,86
matter,85
today,80
number,80
need,78
one,78
take,78
want,77
rate,76
america,75
un,75
las,73
time,72
report,72
health,71
es,71
work,69
lie,69
pandem,69
texa,68
counti,66
con,66
protest,65
week,64
home,64
like,63
e,63
back,62
wear,62
georg,61
floyd,61
record,61
rise,60
infect,60
le,58
know,57
christian,57
lead,57
stop,56
al,56
nation,55
break,55
virus,54
governor,54
may,53
brief,53
respons,52
mani,50
ms,50
make,49
feder,49
die,49
est,49
climat,48
dont,48
support,47
still,47
would,46
tell,45
said,45
blm,44
forc,44
press,44
contra,44
crisi,43
activ,43
blacklivesmatt,43
surg,43
public,43
must,42
come,41
right,41
polic,41
stay,41
two,41
k,41
news,40
posit,40
care,40
realdonaldtrump,40
first,40
fauci,40
help,39
ago,39
chang,38
via,38
million,38
even,38
month,38
world,37
system,37
social,37
claim,37
shut,36
pleas,36
well,36
also,36
continu,36
put,36
street,36
everi,36
order,36
les,36
reopen,36
happen,35
open,35
religi,35
si,35
yesterday,35
fuck,35
countri,35
surpris,35
play,35
mike,35
silver,35
task,35
da,35
lockdown,34
su,34
mayor,34
adam,34
signific,34
patient,34
esto,34
total,34
increas,33
much,33
govern,33
anoth,33
use,33
cuomo,33
big,33
high,32
year,32
let,32
bill,32
protect,32
plan,32
ca,32
todo,32
pandemia,32
una,32
citi,31
think,31
way,31
see,31
bubbl,31
lo,31
serious,30
racism,30
kill,30
cant,30
group,30
better,30
vaccin,30
salud,30
propaganda,30
part,30
close,29
good,29
republ,29
blasio,29
economi,29
could,28
never,28
per,28
look,28
httpstcoxwlijgyw,28
man,28
risk,28
alreadi,27
show,27
paint,27
im,27
spike,27
call,27
bar,27
andrew,27
diseas,27
gate,27
everyon,26
stori,26
data,26
face,26
your,26
