user_id,status_id,created_at,screen_name,text,character,word_count,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x76041433,x1281611620880396288,7/10/20 15:29,KDS5327,"""Don't try to change the minds of climate-denying politicians. Vote them out,"" @staceyabrams writes https://t.co/O7cmn3nl7t",123,15,Twitter Web App,,,,,FALSE,TRUE,0,0,0,0,,,ti.me/2DsTfnT,https://t.co/O7cmn3nl7t,https://ti.me/2DsTfnT,,,,,,,,,x14293310 x216065430,TIME staceyabrams,en,,,,,,,,,,,,,,,,x1281551647378944000,"""Don't try to change the minds of climate-denying politicians. Vote them out,"" @staceyabrams writes https://t.co/O7cmn3nl7t",7/10/20 11:31,Sprinklr,940,236,x14293310,TIME,TIME,17305596,497,351334,,Breaking news and current events from around the globe. Hosted by TIME staff.,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KDS5327/status/1281611620880396288,Daniel Mendoza,"Miami, FL",,,FALSE,3,26,0,1159,844,9/21/09 14:35,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
x1218718840646856710,x1281611621639630851,7/10/20 15:29,TomFost73121864,@Styx666Official @JoeBiden assuming Climate Change doesnt kill us all,69,9,Twitter Web App,42,x1281609992882327552,x807812802761158656,Styx666Official,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,x807812802761158656 x939091,Styx666Official JoeBiden,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TomFost73121864/status/1281611621639630851,Tom Foster Lord of the Idiots,"Colorado Springs, CO","Cannabis Test Supervisor, V.A. I speak my opinions. That's all. Peace!
Satire in case you are asleep.",,FALSE,7,16,1,2209,84,1/19/20 2:17,FALSE,,,,https://pbs.twimg.com/profile_banners/1218718840646856710/1581553377,,http://pbs.twimg.com/profile_images/1281132481475866624/Lsp5reht_normal.jpg
x22565926,x1281611627759050753,7/10/20 15:29,janbear105,"This denier troll was created just to stalk me and bombard me (&amp; followers) with nasty replies, dozens at a time, every day.

Reported the malicious attacks of hatred &amp; Twitter responded! Thank you, @Jack ❤️

- #climatecrisis #climatechange #climatebrawl https://t.co/M42GVDQZ46",290,39,Twitter for iPad,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x904408999,GeraldKutney,en,,,,,,,,,,,,,,,,x1281608948676730883,"This denier troll was created just to stalk me and bombard me (&amp; followers) with nasty replies, dozens at a time, every day.

Reported the malicious attacks of hatred &amp; Twitter responded! Thank you, @Jack ❤️

- #climatecrisis #climatechange #climatebrawl https://t.co/M42GVDQZ46",7/10/20 15:19,Twitter Web App,18,3,x904408999,GeraldKutney,@GeraldKutney,40670,29768,92852,"Ottawa, Ontario",🇨🇦Politics of #climatecrisis; Fellow RCGS; Ph.D.; media commentator; author; creator of #climatebrawl,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/janbear105/status/1281611627759050753,J Nussey 🇨🇦🐾,Eastern Shore NS,Proud mother of 3 adults - 6 grandchildren 2 labs & 1 feisty cat,,FALSE,782,674,5,76116,49230,3/3/09 1:35,FALSE,,,,https://pbs.twimg.com/profile_banners/22565926/1593552854,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1278079584802689024/_p5JLwQ6_normal.jpg
x4264297743,x1281611629206151168,7/10/20 15:29,SandraDunn1955,"TWO BRAZILIAN FIRMS owned by a top donor to Donald Trump and Mitch McConnell are significantly responsible for the destruction of the Amazon rainforest.

The Amazon absorbs a significant amount of carbon dioxide, a major contributor to the climate crisis.

https://t.co/yIUQqAVlvW",280,39,Twitter for Android,,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,x901703629,AuroraBlogspot,en,,,,,,,,,,,,,,,,x1281461905954144256,"TWO BRAZILIAN FIRMS owned by a top donor to Donald Trump and Mitch McConnell are significantly responsible for the destruction of the Amazon rainforest.

The Amazon absorbs a significant amount of carbon dioxide, a major contributor to the climate crisis.

https://t.co/yIUQqAVlvW",7/10/20 5:35,Twitter Web App,36,41,x901703629,AuroraBlogspot,Hendrik Klaassens #FBPE #FBPEGlobal #FBR,59533,61051,161055,"The Netherlands, EU.","Founder of #FBPE, Europe's largest anti-far right movement. Astronomy, future worlds, spirituality, music. #HealthcareForAll #indyref2 #BLM #WeAreOne #resist",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SandraDunn1955/status/1281611629206151168,Rainbow Warrior (not watching my tone)#FBPE 🐟🇪🇺,European Union ,Retired court official promoted to liberal elite! Baby Boomer #FBPE who wants a future for her daughters and grandson with all the benefits she had!❄🖤,,FALSE,12022,12247,117,669914,108933,11/24/15 11:47,FALSE,,,,https://pbs.twimg.com/profile_banners/4264297743/1577814686,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1255505467335479297/ozuA1pCz_normal.jpg
x3185542423,x1281611631022059520,7/10/20 15:29,pdxearthwriter,"School strike week 99. The climate crisis doesn’t go on summer holiday, so we keep on protesting.
#climatestrikeonline  #StayAtHome #fridaysforfuture #schoolstrike4climate #flattenthecurve https://t.co/DmJcXPFwmT",214,22,Twitter for iPhone,,,,,FALSE,TRUE,0,0,0,0,climatestrikeonline,,,,,,,,,,,,,x1006419421244678144,GretaThunberg,en,,,,,,,,,,,,,,,,x1281528925844320256,"School strike week 99. The climate crisis doesn’t go on summer holiday, so we keep on protesting.
#climatestrikeonline  #StayAtHome #fridaysforfuture #schoolstrike4climate #flattenthecurve https://t.co/DmJcXPFwmT",7/10/20 10:01,Twitter for iPhone,12474,1804,x1006419421244678144,GretaThunberg,Greta Thunberg,4158439,1965,7376,Sverige,17 year old climate and environmental activist with Asperger’s  #climatestrike #fridaysforfuture #schoolstrike4climate,TRUE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/pdxearthwriter/status/1281611631022059520,Leslie Davis,,"Environmental and political activist, doomer, interested in creation care, municipalism, survival socialism.",,FALSE,38,67,0,882,665,5/4/15 18:33,FALSE,,,,https://pbs.twimg.com/profile_banners/3185542423/1539376379,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1050846580952129536/qJme-wvT_normal.jpg
x1081359455906742273,x1281611636772503552,7/10/20 15:30,ImaginaryPolicy,During his 8 years as governor he presided over increased Ozone pollution from oil and gas. Blamed China. The EPA said Colorado is now one of  the worst polluters in the U.S. #copolitics #coleg,193,34,Twitter for iPhone,,,,,TRUE,TRUE,0,0,0,0,,,,,,,,,,,,,,x170315949,reubenesp,en,x1280922496292642816,"Hickenlooper on the environment:
✅CO set to exceed Paris climate goals
✅Retired 2 coal powerplants
✅Groundbreaking methane regulations
➡️'Moonshot' effort on climate change 
➡️Invest in solar, wind, storage &amp; EV's
➡️Pass the #COREAct
#copolitics #cosen
https://t.co/Y56rkbtrZA",7/8/20 17:51,Twitter Web App,2,0,x3312711968,ScottGreenler,Scott Greenler,140,771,381,"Durango, CO","Clean energy & environment advocate, solar professional. Fort Lewis College graduate. Standard disclaimers apply.",FALSE,x1280981743604908032,During his 8 years as governor he presided over increased Ozone pollution from oil and gas. Blamed China. The EPA said Colorado is now one of  the worst polluters in the U.S. #copolitics #coleg,7/8/20 21:47,Twitter for Android,2,2,x170315949,reubenesp,Reuben Espinosa,989,2403,45533,"Denver, CO","4th generation Coloradan. Enjoy current events, new trends, history and humor.",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/ImaginaryPolicy/status/1281611636772503552,Big Tuna Socialist,Oregon,if you wanna be my lover / you gotta get with my friends 🌹,,FALSE,270,678,0,28797,55559,1/5/19 1:19,FALSE,,,,https://pbs.twimg.com/profile_banners/1081359455906742273/1592440817,,http://pbs.twimg.com/profile_images/1217919445844127744/h-y3aKAK_normal.jpg
x2409347256,x1281611637900881922,7/10/20 15:30,KateZerrenner,"My latest: mini-grids are one solution to help tackle rural #energypoverty in developing countries, offering benefits beyond just electricity  https://t.co/tG4LTojtJe via @triplepundit",184,22,Twitter Web App,,,,,FALSE,FALSE,0,0,0,0,energypoverty,,twitter.com/i/web/status/1…,https://t.co/LHKpkj3RWS,https://twitter.com/i/web/status/1281611637900881922,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KateZerrenner/status/1281611637900881922,Kate Zerrenner,"Austin, TX",Writer and policy wonk focusing on climate change & energy-water nexus plus some historical fiction to keep things interesting. My answer to all: Read more.,https://katezerrenner.com/,FALSE,2891,3746,201,11941,5843,3/24/14 17:51,FALSE,,,,https://pbs.twimg.com/profile_banners/2409347256/1491516773,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1267861830636109829/FNZ4frmM_normal.jpg
x380728975,x1281611638349668352,7/10/20 15:30,evolvesustain,"Jane Goodall on conservation, climate change and COVID-19: ""if we carry on with business as usual, we're going to destroy ourselves"" // https://t.co/3hHwrpy9JO",159,23,Buffer,,,,,FALSE,FALSE,0,0,0,0,,,twitter.com/i/web/status/1…,https://t.co/K941XlvbFB,https://twitter.com/i/web/status/1281611638349668352,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/evolvesustain/status/1281611638349668352,evolveSustain,"Madison, WI / Global","the latest news & commentary in sustainability/global development. environment, climate, energy, economics, agriculture, tech, activism, justice. human curated.",https://evolvesustain.org,FALSE,896,1557,88,43075,1597,9/27/11 3:58,FALSE,,,,https://pbs.twimg.com/profile_banners/380728975/1568745219,http://abs.twimg.com/images/themes/theme15/bg.png,http://pbs.twimg.com/profile_images/1149447579224162305/tbP_X4l2_normal.png
x10688432,x1281611639121420289,7/10/20 15:30,KansasDems,"Check out this awesome time lapse video of the Flint Hills! Our state is so beautiful - let's keep it that way by electing Democrats up and down the ballot in 2020 who will fight climate change and invest in green energy. #ksleg
https://t.co/72ajFh87Hn",252,43,Twitter Web App,,,,,FALSE,FALSE,0,0,0,0,,,twitter.com/i/web/status/1…,https://t.co/qORyo9T3VI,https://twitter.com/i/web/status/1281611639121420289,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KansasDems/status/1281611639121420289,Kansas Dems,The Sunflower State,"Powered by, fighting for working Kansans.",http://www.KansasDems.org,FALSE,16907,576,366,23015,3931,11/28/07 21:49,TRUE,,,,https://pbs.twimg.com/profile_banners/10688432/1558916572,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1145540879291170819/g9M0rhOj_normal.jpg
x53003701,x1281611639175831560,7/10/20 15:30,sillymickel,"that use of fire is the great break with Nature that makes us humans, as well as myths saying that our being too reckless &amp; getting too close to fire is what causes our downfall. When you think of it, am I not saying both of those?

https://t.co/Ih1rEkz6dU #climatechange #FBR",280,49,TweetDeck,,,,,FALSE,FALSE,0,0,0,0,,,twitter.com/i/web/status/1…,https://t.co/Fq6QTYYAYq,https://twitter.com/i/web/status/1281611639175831560,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/sillymickel/status/1281611639175831560,Mickel Adzema,"Eugene, OR","#FBR Pre/Perinatal Psychologist, Ecoactivist; Author of Planetmates; Psychology of Apocalypse, Funny God; Who To Be; Falls from Grace; 8 more at https://t.co/ZMLgu6wznK",https://sillymickel.blogspot.com/,FALSE,50463,54009,109,227963,51323,7/2/09 7:44,FALSE,,,,https://pbs.twimg.com/profile_banners/53003701/1528432143,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/934698689544589313/L48iuMpw_normal.jpg
